NIIN,Plant Code,Qty,Current Month,Street and House Number,City,State,Location
15607789,SDA,5,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15611293,MG4,2,3/1/2024,BLDG 2200 DOOR N16 (BLDG 2229),ALBANY,GA,"ALBANY, GA"
15619501,MAB,22,3/1/2024,MARINE CORPS LOGISTICS BASE,ALBANY,GA,"ALBANY, GA"
15620852,MG4,3,3/1/2024,BLDG 2200 DOOR N16 (BLDG 2229),ALBANY,GA,"ALBANY, GA"
15623698,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15627515,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15633271,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15640122,SDA,3,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15640122,LN1,6,3/1/2024,BUILDING 1260 DOOR 9,ALBANY,GA,"ALBANY, GA"
15640901,SDA,7,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15640926,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15640952,SDA,18,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15640952,MF5,1,3/1/2024,"BLDG 1012, O STREET M/F MMFAF5",CAMP LEJEUNE,NC,"CAMP LEJEUNE, NC"
15644042,SDA,26,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15644914,SDA,37,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15648787,SDA,30,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15649001,BY6,3,3/1/2024,WAREHOUSE 6 BAY 4,TOBYHANNA,PA,"TOBYHANNA, PA"
15649001,SDA,4,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15653428,BK5,2,3/1/2024,1 OVERCASH AVE LETTERKENNY AD,CHAMBERSBURG,PA,"CHAMBERSBURG, PA"
15653872,SDA,48,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15658920,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15658920,MUY,1,3/1/2024,WAREHOUSE 405 MARCORLOGBASE,YERMO,CA,"YERMO, CA"
15660376,SG2,1,3/1/2024,CENTRAL RECEIVING WHSE 7,BARSTOW,CA,"BARSTOW, CA"
15660376,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15660958,SDA,234,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15662804,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15674095,SDA,25,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15674127,SDA,32,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15674209,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15675112,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15675164,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15678975,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15679312,SDA,17,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15681160,SDA,3,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15683812,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15687119,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15694274,SDD,2,3/1/2024,455 BYRON STREET BLDG 376,ROBINS A F B,GA,"ROBINS A F B, GA"
15694274,SDA,4,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15699337,SDA,4,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15702779,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15702781,SDA,7,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15707141,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15709746,LN1,1,3/1/2024,BUILDING 1260 DOOR 9,ALBANY,GA,"ALBANY, GA"
15709746,MUY,124,3/1/2024,WAREHOUSE 405 MARCORLOGBASE,YERMO,CA,"YERMO, CA"
15709746,BY6,46,3/1/2024,WAREHOUSE 6 BAY 4,TOBYHANNA,PA,"TOBYHANNA, PA"
15709746,SG2,100,3/1/2024,CENTRAL RECEIVING WHSE 7,BARSTOW,CA,"BARSTOW, CA"
15709746,SDA,522,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15722922,SDA,1,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15728070,SDA,2,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15733394,SG2,1,3/1/2024,CENTRAL RECEIVING WHSE 7,BARSTOW,CA,"BARSTOW, CA"
15733394,SDA,25,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15733394,MMZ,1,3/1/2024,"BLDG 1012, O STREET",CAMP LEJEUNE,NC,"CAMP LEJEUNE, NC"
15740605,SDA,6,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15740605,MF5,1,3/1/2024,"BLDG 1012, O STREET M/F MMFAF5",CAMP LEJEUNE,NC,"CAMP LEJEUNE, NC"
15740696,SDA,55,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15740707,SDA,9,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15740714,SDA,6,3/1/2024,814 RADFORD BLVDBLDG1221DOOR20,ALBANY,GA,"ALBANY, GA"
15740721,SG2,3,3/1/2024,CENTRAL RECEIVING WHSE 7,BARSTOW,CA,"BARSTOW, CA"
